Senser01,Senser03,Senser02
1518,-4912,0
1519,-4912,0
1520,-4912,0
1521,-4912,0
1522,-4912,0
1523,-4912,0
1524,-4912,0
1525,-4912,0
1526,-4912,0
1527,-4912,0
1528,-4912,0
1529,-4912,0
1530,-4912,0
1531,-4912,0
1532,-4912,0
1533,-4912,0
1534,-4912,0
1535,-4912,0
1536,-4912,0
1537,-4912,0
1538,-4912,0
1539,-4912,0
1540,-4912,0
1541,-4912,0
1542,-4912,0
1543,-4912,0
1544,-4912,0
1545,-4912,0
1546,-4912,0
1547,-4912,0
1548,-4912,0
1549,-4912,0
1550,-4912,0
1551,-4912,0
1552,-4912,0
1553,-4912,0
1554,-4912,0
1555,-4912,0
1556,-4912,0
1557,-4912,0
1558,-4912,0
1559,-4912,0
1560,-4912,0
1561,-4912,0
1562,-4912,0
1563,-4912,0
1564,-4912,0
1565,-4912,0
1566,-4912,0
1567,-4912,0
1568,-4912,0
1569,-4912,0
1570,-4912,0
1571,-4912,0
1572,-4912,0
1573,-4912,0
1574,-4912,0
1575,-4912,0
1576,-4912,0
1577,-4912,0
1578,-4912,0
1579,-4912,0
1580,-4912,0
1581,-4912,0
1582,-4912,0
1583,-4912,0
1584,-4912,0
1585,-4912,0
1586,-4912,0
1587,-4912,0
1588,-4912,0
1589,-4912,0
1590,-4912,0
1591,-4912,0
1592,-4912,0
1593,-4912,0
1594,-4912,0
1595,-4912,0
1596,-4912,0
1597,-4912,0
1598,-4912,0
1599,-4912,0
1600,-4912,0
1601,-4912,0
1602,-4912,0
1603,-4912,0
1604,-4912,0
1605,-4912,0
1606,-4912,0
1607,-4912,0
1608,-4912,0
1609,-4912,0
1610,-4912,0
1611,-4912,0
1612,-4912,0
1613,-4912,0
1614,-4912,0
1615,-4912,0
1616,-4912,0
1617,-4912,0
1618,-4912,0
1619,-4912,0
1620,-4912,0
1621,-4912,0
1622,-4912,0
1623,-4912,0
1624,-4912,0
1625,-4912,0
1626,-4912,0
1627,-4912,0
1628,-4912,0
1629,-4912,0
1630,-4912,0
1631,-4912,0
1632,-4912,0
1633,-4912,0
1634,-4912,0
1635,-4912,0
1636,-4912,0
1637,-4912,0
1638,-4912,0
1639,-4912,0
1640,-4912,0
1641,-4912,0
1642,-4912,0
1643,-4912,0
1644,-4912,0
1645,-4912,0
1646,-4912,0
1647,-4912,0
1648,-4912,0
1649,-4912,0
1650,-4912,0
1651,-4912,0
1652,-4912,0
1653,-4912,0
